time_aest,location,bed_elevation_m,tuflow_water_level_m,schism_water_level_m,reference_surface_m,surface_target_z_m,mid_depth_target_z_m,near_bottom_target_z_m
2011-05-04 04:00:00,Lower,-6.6967954636,-0.0590524673,-0.0327713011,-0.0459118842,-0.5459118842,-3.3713536739,-6.1967954636
2011-05-04 05:00:00,Lower,-6.6967954636,-0.1091966629,-0.0788271985,-0.0940119307,-0.5940119307,-3.3954036971,-6.1967954636
2011-05-04 06:00:00,Lower,-6.6967954636,-0.1393427849,-0.1104209481,-0.1248818665,-0.6248818665,-3.4108386650,-6.1967954636
2011-05-04 07:00:00,Lower,-6.6967954636,-0.1292819977,-0.1188925976,-0.1240872976,-0.6240872976,-3.4104413806,-6.1967954636
2011-05-04 08:00:00,Lower,-6.6967954636,-0.0795354843,-0.0786337144,-0.0790845993,-0.5790845993,-3.3879400314,-6.1967954636
2011-05-04 09:00:00,Lower,-6.6967954636,0.0003533363,-0.0025353842,-0.0010910239,-0.5010910239,-3.3489432438,-6.1967954636
2011-05-04 10:00:00,Lower,-6.6967954636,0.0803508759,0.0764364704,0.0783936731,-0.4216063269,-3.3092008952,-6.1967954636
2011-05-04 11:00:00,Lower,-6.6967954636,0.1406040192,0.1370057753,0.1388048972,-0.3611951028,-3.2789952832,-6.1967954636
2011-05-04 12:00:00,Lower,-6.6967954636,0.1705465317,0.1680392460,0.1692928888,-0.3307071112,-3.2637512874,-6.1967954636
2011-05-04 13:00:00,Lower,-6.6967954636,0.1700711250,0.1702428827,0.1701570038,-0.3298429962,-3.2633192299,-6.1967954636
2011-05-04 14:00:00,Lower,-6.6967954636,0.1301016808,0.1357645670,0.1329331239,-0.3670668761,-3.2819311698,-6.1967954636
2011-05-04 15:00:00,Lower,-6.6967954636,0.0702896118,0.0834618318,0.0768757218,-0.4231242782,-3.3099598709,-6.1967954636
2011-05-04 16:00:00,Lower,-6.6967954636,0.0105481148,0.0307153597,0.0206317372,-0.4793682628,-3.3380818632,-6.1967954636
2011-05-04 17:00:00,Lower,-6.6967954636,-0.0391883850,-0.0145025939,-0.0268454895,-0.5268454895,-3.3618204765,-6.1967954636
2011-05-04 18:00:00,Lower,-6.6967954636,-0.0791621208,-0.0524934134,-0.0658277671,-0.5658277671,-3.3813116153,-6.1967954636
2011-05-04 19:00:00,Lower,-6.6967954636,-0.0893764496,-0.0711175521,-0.0802470008,-0.5802470008,-3.3885212322,-6.1967954636
2011-05-04 20:00:00,Lower,-6.6967954636,-0.0595293045,-0.0559745954,-0.0577519499,-0.5577519499,-3.3772737068,-6.1967954636
2011-05-04 21:00:00,Lower,-6.6967954636,0.0002222061,-0.0006765723,-0.0002271831,-0.5002271831,-3.3485113233,-6.1967954636
2011-05-04 22:00:00,Lower,-6.6967954636,0.0603713989,0.0572800302,0.0588257146,-0.4411742854,-3.3189848745,-6.1967954636
2011-05-04 23:00:00,Lower,-6.6967954636,0.1204915047,0.1168094188,0.1186504617,-0.3813495383,-3.2890725009,-6.1967954636
2011-05-05 00:00:00,Lower,-6.6967954636,0.1504554749,0.1483030244,0.1493792496,-0.3506207504,-3.2737081070,-6.1967954636
2011-05-05 01:00:00,Lower,-6.6967954636,0.1501922607,0.1508987967,0.1505455287,-0.3494544713,-3.2731249674,-6.1967954636
2011-05-05 02:00:00,Lower,-6.6967954636,0.1106081009,0.1162478811,0.1134279910,-0.3865720090,-3.2916837363,-6.1967954636
2011-05-05 03:00:00,Lower,-6.6967954636,0.0504069328,0.0642201069,0.0573135199,-0.4426864801,-3.3197409718,-6.1967954636
2011-05-05 04:00:00,Lower,-6.6967954636,-0.0294432640,-0.0073111722,-0.0183772181,-0.5183772181,-3.3575863408,-6.1967954636
2011-05-05 05:00:00,Lower,-6.6967954636,-0.0891380310,-0.0623606626,-0.0757493468,-0.5757493468,-3.3862724052,-6.1967954636
2011-05-05 06:00:00,Lower,-6.6967954636,-0.1392736435,-0.1085012778,-0.1238874607,-0.6238874607,-3.4103414621,-6.1967954636
2011-05-05 07:00:00,Lower,-6.6967954636,-0.1494503021,-0.1254629857,-0.1374566439,-0.6374566439,-3.4171260537,-6.1967954636
2011-05-05 08:00:00,Lower,-6.6967954636,-0.1291747093,-0.1234803867,-0.1263275480,-0.6263275480,-3.4115615058,-6.1967954636
2011-05-05 09:00:00,Lower,-6.6967954636,-0.0798583031,-0.0793175315,-0.0795879173,-0.5795879173,-3.3881916904,-6.1967954636
2011-05-05 10:00:00,Lower,-6.6967954636,0.0005259514,-0.0028019013,-0.0011379750,-0.5011379750,-3.3489667193,-6.1967954636
2011-05-05 11:00:00,Lower,-6.6967954636,0.0802168846,0.0763261972,0.0782715409,-0.4217284591,-3.3092619613,-6.1967954636
2011-05-05 12:00:00,Lower,-6.6967954636,0.1402411461,0.1368312951,0.1385362206,-0.3614637794,-3.2791296215,-6.1967954636
2011-05-05 13:00:00,Lower,-6.6967954636,0.1702842712,0.1678182966,0.1690512839,-0.3309487161,-3.2638720898,-6.1967954636
2011-05-05 14:00:00,Lower,-6.6967954636,0.1701850891,0.1699352102,0.1700601497,-0.3299398503,-3.2633676570,-6.1967954636
2011-05-05 15:00:00,Lower,-6.6967954636,0.1199483871,0.1265392790,0.1232438331,-0.3767561669,-3.2867758152,-6.1967954636
2011-05-05 16:00:00,Lower,-6.6967954636,0.0505065918,0.0646023514,0.0575544716,-0.4424455284,-3.3196204960,-6.1967954636
2011-05-05 17:00:00,Lower,-6.6967954636,-0.0093898773,0.0109693354,0.0007897291,-0.4992102709,-3.3480028673,-6.1967954636
2011-05-05 18:00:00,Lower,-6.6967954636,-0.0595650673,-0.0341192719,-0.0468421696,-0.5468421696,-3.3718188166,-6.1967954636
2011-05-05 19:00:00,Lower,-6.6967954636,-0.0892825127,-0.0636303189,-0.0764564158,-0.5764564158,-3.3866259397,-6.1967954636
2011-05-05 20:00:00,Lower,-6.6967954636,-0.0793924332,-0.0689175388,-0.0741549860,-0.5741549860,-3.3854752248,-6.1967954636
2011-05-05 21:00:00,Lower,-6.6967954636,-0.0396080017,-0.0381239831,-0.0388659924,-0.5388659924,-3.3678307280,-6.1967954636
2011-05-05 22:00:00,Lower,-6.6967954636,0.0304460526,0.0277703062,0.0291081794,-0.4708918206,-3.3338436421,-6.1967954636
2011-05-05 23:00:00,Lower,-6.6967954636,0.0905499458,0.0869420901,0.0887460180,-0.4112539820,-3.3040247228,-6.1967954636
2011-05-06 00:00:00,Lower,-6.6967954636,0.1499719620,0.1467442757,0.1483581188,-0.3516418812,-3.2742186724,-6.1967954636
2011-05-06 01:00:00,Lower,-6.6967954636,0.1803860664,0.1782294405,0.1793077535,-0.3206922465,-3.2587438550,-6.1967954636
2011-05-06 02:00:00,Lower,-6.6967954636,0.1700339317,0.1713486879,0.1706913098,-0.3293086902,-3.2630520769,-6.1967954636
2011-05-06 03:00:00,Lower,-6.6967954636,0.1106281281,0.1190729894,0.1148505587,-0.3851494413,-3.2909724524,-6.1967954636
2011-05-06 04:00:00,Lower,-6.6967954636,0.0406532288,0.0569701465,0.0488116876,-0.4511883124,-3.3239918880,-6.1967954636
2011-05-06 05:00:00,Lower,-6.6967954636,-0.0490746498,-0.0281279206,-0.0386012852,-0.5386012852,-3.3676983744,-6.1967954636
2011-05-06 06:00:00,Lower,-6.6967954636,-0.1192846298,-0.0933548215,-0.1063197257,-0.6063197257,-3.4015575946,-6.1967954636
2011-05-06 07:00:00,Lower,-6.6967954636,-0.1591291428,-0.1278500536,-0.1434895982,-0.6434895982,-3.4201425309,-6.1967954636
2011-05-06 08:00:00,Lower,-6.6967954636,-0.1694502831,-0.1476220170,-0.1585361500,-0.6585361500,-3.4276658068,-6.1967954636
2011-05-06 09:00:00,Lower,-6.6967954636,-0.1293554306,-0.1259188165,-0.1276371236,-0.6276371236,-3.4122162936,-6.1967954636
2011-05-06 10:00:00,Lower,-6.6967954636,-0.0493402481,-0.0522228245,-0.0507815363,-0.5507815363,-3.3737884999,-6.1967954636
2011-05-06 11:00:00,Lower,-6.6967954636,0.0305953026,0.0263566814,0.0284759920,-0.4715240080,-3.3341597358,-6.1967954636
2011-05-06 12:00:00,Lower,-6.6967954636,0.1206164360,0.1159658041,0.1182911200,-0.3817088800,-3.2892521718,-6.1967954636
2011-05-06 13:00:00,Lower,-6.6967954636,0.1805891991,0.1768368883,0.1787130437,-0.3212869563,-3.2590412099,-6.1967954636
2011-05-06 14:00:00,Lower,-6.6967954636,0.1999974251,0.1981388884,0.1990681567,-0.3009318433,-3.2488636534,-6.1967954636
2011-05-06 15:00:00,Lower,-6.6967954636,0.1803679466,0.1812567979,0.1808123723,-0.3191876277,-3.2579915456,-6.1967954636
2011-05-06 16:00:00,Lower,-6.6967954636,0.1205725670,0.1291294193,0.1248509931,-0.3751490069,-3.2859722352,-6.1967954636
2011-05-06 17:00:00,Lower,-6.6967954636,0.0510334969,0.0661063588,0.0585699278,-0.4414300722,-3.3191127679,-6.1967954636
2011-05-06 18:00:00,Lower,-6.6967954636,-0.0090723038,0.0118526762,0.0013901862,-0.4986098138,-3.3477026387,-6.1967954636
2011-05-06 19:00:00,Lower,-6.6967954636,-0.0694046021,-0.0429221706,-0.0561633863,-0.5561633863,-3.3764794250,-6.1967954636
2011-05-06 20:00:00,Lower,-6.6967954636,-0.0994310379,-0.0718039342,-0.0856174861,-0.5856174861,-3.3912064748,-6.1967954636
2011-05-06 21:00:00,Lower,-6.6967954636,-0.0792865753,-0.0705517488,-0.0749191620,-0.5749191620,-3.3858573128,-6.1967954636
2011-05-06 22:00:00,Lower,-6.6967954636,-0.0197772980,-0.0201667326,-0.0199720153,-0.5199720153,-3.3583837394,-6.1967954636
2011-05-06 23:00:00,Lower,-6.6967954636,0.0504884720,0.0471757366,0.0488321043,-0.4511678957,-3.3239816796,-6.1967954636
2011-05-07 00:00:00,Lower,-6.6967954636,0.1302742958,0.1258536517,0.1280639737,-0.3719360263,-3.2843657449,-6.1967954636
2011-05-01 01:00:00,Middle,-4.7865343094,0.0348701477,0.0169820967,0.0259261222,-0.4740738778,-2.3803040936,-4.2865343094
2011-05-01 02:00:00,Middle,-4.7865343094,-0.0875878334,-0.0493342667,-0.0684610500,-0.5684610500,-2.4274976797,-4.2865343094
2011-05-01 03:00:00,Middle,-4.7865343094,-0.0751743317,-0.0918484224,-0.0835113770,-0.5835113770,-2.4350228432,-4.2865343094
2011-05-01 04:00:00,Middle,-4.7865343094,-0.1040539742,-0.1031618471,-0.1036079106,-0.6036079106,-2.4450711100,-4.2865343094
2011-05-01 05:00:00,Middle,-4.7865343094,-0.0785050392,-0.0605411034,-0.0695230713,-0.5695230713,-2.4280286904,-4.2865343094
2011-05-01 06:00:00,Middle,-4.7865343094,-0.0170407295,-0.0098749411,-0.0134578353,-0.5134578353,-2.3999960723,-4.2865343094
